player,gp,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,tov,eff
James Harden,25,36.1,30.9,9.2,20.4,45.4,4.1,11,37.2,8.3,9.9,83.9,0.6,5.2,5.8,8.3,2,0.5,5.6,29.2
Kevin Durant,30,35.7,29,10.1,19.8,51.1,1.7,4.8,35.9,7.1,7.6,93,0.5,7.2,7.7,6.2,0.9,1,3.5,31.1
LeBron James,29,34.8,28.2,10.3,19.7,52.4,2.2,5.9,37.4,5.3,7.7,68.8,0.9,6.9,7.8,7.1,1.3,0.7,3.4,29.9
Anthony Davis,26,37,28.1,10.1,20.1,50.2,0.8,2.6,30.9,7.1,8.7,81.9,3.3,9,12.4,4.7,1.7,2.8,2.3,35.7
Joel Embiid,29,34.4,27,8.8,18.6,47.1,1.2,4.1,29.2,8.2,10.4,79.4,2.4,11.1,13.6,3.6,0.6,1.9,3.3,31.3
Damian Lillard,29,35.2,26.9,8.7,19.6,44.5,2.9,7.8,37.6,6.5,7.3,89.2,0.8,4.2,5,6,0.9,0.4,2.6,25
Giannis Antetokounmpo,26,34,26.6,10,17.1,58.3,0.3,2.3,13.1,6.3,9.2,69.3,2.7,10.5,13.2,6.1,1.3,1.3,4.2,34.3
Kawhi Leonard,23,34.8,26.2,9.2,18.8,48.7,1.9,4.9,39.3,5.9,6.9,85.5,1.3,6.9,8.2,3,1.8,0.7,2,27.2
Blake Griffin,26,35.7,25.7,8.7,18.3,47.2,2.3,6.2,36.9,6.1,8.3,73.5,1.4,7.7,9.1,5,0.7,0.5,3.7,25.3
Paul George,28,35,24.9,8.5,19.3,44.3,3.3,8.7,37.7,4.6,5.5,82.6,1.4,6.4,7.8,4.3,2.1,0.8,2.8,25.5
Kemba Walker,29,34.7,24.9,8.3,19.7,42,3.2,9.2,34.6,5.2,6.2,82.9,0.4,4.1,4.5,6.3,1.3,0.4,2.6,22.3
Zach LaVine,28,35.3,23.8,8.4,18.7,45,1.7,5.1,32.6,5.2,6,86.9,0.4,4.4,4.9,4.8,1.1,0.5,4,19.9
DeMar DeRozan,30,35.3,23.6,8.9,18.9,47.3,0.2,1.2,16.2,5.6,6.5,85.2,0.8,4.8,5.5,6.1,0.9,0.5,2.5,23.3
Bradley Beal,29,35.9,23.1,8.5,18,47.2,2.3,6.7,34,3.8,4.9,77.6,0.7,3.7,4.3,4.5,1,1,2.4,20.9
