player,Roster Position,Salary
Anthony Davis,PF/C/F/UTIL,11600
LeBron James,SF/PF/F/UTIL,10900
Nikola Jokic,C/UTIL,9900
John Wall,PG/G/UTIL,9200
Kawhi Leonard,SF/PF/F/UTIL,9000
Jrue Holiday,PG/SG/G/UTIL,8400
Bradley Beal,SG/G/UTIL,8200
Julius Randle,PF/C/F/UTIL,8100
Kyle Kuzma,SF/PF/F/UTIL,8000
Kyle Lowry,PG/G/UTIL,7900
DeAaron Fox,PG/G/UTIL,7600
Luka Doncic,SG/SF/F/G/UTIL,7300
Hassan Whiteside,C/UTIL,6900
DeAndre Jordan,C/UTIL,6800
Willie Cauley-Stein,C/UTIL,6700
Serge Ibaka,PF/C/F/UTIL,6500
Nikola Mirotic,PF/C/F/UTIL,6400
Jamal Murray,PG/SG/G/UTIL,6300
Josh Richardson,SG/SF/F/G/UTIL,6200
Buddy Hield,SG/SF/F/G/UTIL,6100
Paul Millsap,PF/C/F/UTIL,6000
Lonzo Ball,PG/G/UTIL,5900
Otto Porter Jr.,SF/PF/F/UTIL,5800
Pascal Siakam,PF/F/UTIL,5800
Bogdan Bogdanovic,SG/SF/F/G/UTIL,5700
Goran Dragic,PG/G/UTIL,5700
Dwight Howard,C/UTIL,5600
Harrison Barnes,SF/PF/F/UTIL,5600
Brandon Ingram,PG/SG/G/UTIL,5500
Gary Harris,SG/G/UTIL,5500
Will Barton,SG/SF/F/G/UTIL,5500
Marvin Bagley III,PF/C/F/UTIL,5500
Dwyane Wade,PG/SG/G/UTIL,5500
Markieff Morris,PF/C/F/UTIL,5400
Elfrid Payton,PG/G/UTIL,5400
Dennis Smith Jr.,PG/G/UTIL,5300
Bam Adebayo,PF/C/F/UTIL,5300
Kelly Oubre Jr.,SG/SF/F/G/UTIL,5200
Fred VanVleet,PG/SG/G/UTIL,5200
Juancho Hernangomez,SF/PF/F/UTIL,5100
Rajon Rondo,PG/G/UTIL,5000
Kelly Olynyk,PF/C/F/UTIL,5000
Danny Green,SG/SF/F/G/UTIL,4900
Mason Plumlee,PF/C/F/UTIL,4800
Justise Winslow,SF/PF/F/UTIL,4800
JaVale McGee,C/UTIL,4700
Tim Frazier,PG/SG/G/UTIL,4700
Josh Hart,PG/SG/G/UTIL,4600
Trey Lyles,SF/PF/F/UTIL,4600
Nemanja Bjelica,SF/PF/F/UTIL,4600
Tyler Johnson,PG/SG/G/UTIL,4600
Monte Morris,PG/SG/G/UTIL,4500
Jonas Valanciunas,C/UTIL,4500
Jeff Green,SF/PF/F/UTIL,4400
Wesley Matthews,SG/SF/F/G/UTIL,4400
J.J. Barea,PG/SG/G/UTIL,4300
Austin Rivers,PG/SG/G/UTIL,4200
Wayne Ellington,PG/SG/G/UTIL,4100
Isaiah Thomas,PG/G/UTIL,4000
Rodney McGruder,SG/SF/F/G/UTIL,4000
Dion Waiters,SG/SF/F/G/UTIL,4000
E'Twaun Moore,SG/SF/F/G/UTIL,4000
Jalen Brunson,PG/G/UTIL,3900
Derrick Jones Jr.,SF/PF/F/UTIL,3900
Tomas Satoransky,PG/SG/G/UTIL,3800
Dirk Nowitzki,PF/C/F/UTIL,3800
Kentavious Caldwell-Pope,SG/SF/F/G/UTIL,3700
Iman Shumpert,SG/SF/F/G/UTIL,3700
Dorian Finney-Smith,SF/PF/F/UTIL,3700
James Johnson,SF/PF/F/UTIL,3700
